id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
770,单电,概念产品,APS画幅,,Exmor APS HD CMOS,索尼A3500(单机),,,,2010万,
771,消费，长焦,999,1/2.3英寸,,背照式CMOS,尼康S810C,机械电子快门,触摸屏，高清屏,4608×3456,1602万,
772,消费，卡片，长焦，广角,800,1/2.3英寸,,背照式CMOS,卡西欧ZR410,机械电子快门,,4608×3456,1610万,菜单功能 按键 功能
773,微单,3660,1英寸（13.2*8.8mm）,,CMOS,尼康V3套机(10-30mm PD),电子控制纵走式焦平面快门，电子快门,触摸屏，翻转屏，高清屏,5232×3488,1839万,
774,微单,4199,APS画幅（23.6*15.6mm）,"配有原色滤镜
传感器清洁系统：超声波振动",X-Trans CMOS,富士X-M1套机(XF27mm),焦平面快门,旋转屏，高清屏,4896×3264,1630万,结构 外形 外观 外壳 机身 质地 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
775,消费，卡片，广角，长焦,629,1/2.3英寸,,CCD,尼康S3700,机械电子快门,,5152×3864,2005万,
776,单电,9999,4/3画幅（17.3*13mm）,,CMOS,奥林巴斯E-M1套机(12-40mm),,触摸屏，高清屏,4608×3456mm,1630万,防抖性 防抖 机震 工艺 做工 设计 夜拍 感光 防水性 防尘 三防 防滑性
777,入门单反,3480,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能100D套机(EF-S 18-55mm STM)小桃仙套装,电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 噪音 声音 携带 便携性
778,微单，工业,即将上市,全画幅,,,索尼UMC-S3C,,,,1200万,
779,消费，卡片,398,1/2.3英寸,,CCD,尼康L29,机械电子快门,,4608×3456,1614万,
780,微单,1.35万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(18-200mm OSS LE),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
781,消费，卡片，四防,1699,1/2.3英寸,,CMOS,富士XP90,,LCD屏，高清屏,,1640万,
782,微单,4099,APS画幅（23.6*15.6mm）,超声波振动,CMOS,富士X-A1套机(XC16-50mm，50-230mm),焦平面快门,旋转屏，高清屏,4896×3264,1630万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 防抖性 防抖 机震 操作 操控性 可玩性 外壳 机身 质地 结构 外形 外观
783,消费，卡片,1759,1/2.3英寸,,背照式CMOS,奥林巴斯SH-2,,触摸屏，高清屏,4608×3456,1600万,夜拍 感光 结构 外形 外观
784,入门单反,4099,APS画幅（23.5*15.6mm）,除尘系统：清洁影像传感器，影像除尘参考数据,CMOS,尼康D5500套机(18-55mm VR II),电子控制纵走式焦平面快门,触摸屏，翻折屏，高清屏,6000×4000,2416万,菜单功能 按键 功能 操作 操控性 可玩性 使用体验 使用 手握 持握 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
785,单电,6300,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M5套机(14-42mm II R，40-150mm II R),电子控制焦平面快门,触摸屏,4608×3456,1610万,操作 操控性 可玩性 外壳 机身 质地 工艺 做工 设计 防抖性 防抖 机震 体积 厚度 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 防水性 防尘 三防 防滑性
786,微单,2200,APS画幅（23.5*15.7mm）,,CMOS,三星NX3000套机(16-50mm OIS，SEF-8闪光灯),,旋转屏,5472×3648,2030万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 续航 电池
787,单电,8999,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼A77 II套机(18-135mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6000×4000,2430万,使用体验 使用 噪音 声音
788,,1.93万,,,CMOS,徕卡X法兰西特别限量版,,,,1600万,外壳 机身 质地 携带 便携性 结构 外形 外观
789,微单,3.05万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(FE 70-200mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
790,卡片，三防,2330,1/2.3英寸,,背照式CMOS,奥林巴斯TG-870,旋转式快门,旋转屏,,1600万,
791,消费，长焦,999,1/2.3英寸,,CCD,明基GH688F,,旋转屏,,2000万,
792,入门单反,价格面议,,,,佳能EOS REBEL,,,,,
793,微单,2.9万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(24-70mm，70-200mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
794,入门单反,4299,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能750D套机(50mm STM),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
795,微单,1.15万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 24-70mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
796,消费，长焦,5999,,,CMOS,锡恩帝HX500,,,4608×3456,1600万,
797,微单,1.4万,APS-C画幅（23.6*15.6mm）,APS-X,X-Trans CMOS III,富士X-PRO 2套机(XF 23mm),机械电子快门,液晶显示器,,2430万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观
798,微单,2.84万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(24-70mm ZA OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
799,单电,1.15万,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1套机(XF18-55mm，XF55-200mm),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
800,消费，卡片,880,1/2.3英寸,,背照式CMOS,尼康S5300,机械电子快门,高清屏,4608×3456,1602万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
801,入门单反,6399,APS-C画幅,,CMOS,宾得K-70套机(18-135mm WR),,旋转屏，高清屏,6000×4000,2400万,
802,高端单反,4.26万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II套机(70-200mm II IS),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
803,中端单反,8399,APS画幅（23.5*15.6mm）,,CMOS,宾得K-3II套机(18-135mm WR),,,6016×4000,2400万,操作 操控性 可玩性
804,旁轴数码,9.5万,全画幅,,CMOS,徕卡M-P熊猫版,,,5952×3976,2400万,工艺 做工 设计
805,,10.3万,,,,阿尔帕12 FPS,,,,,
806,高端单反,3.08万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(16-35mm f/4G ED VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
807,入门单反,4999,APS画幅（23.5*15.6mm）,除尘系统：清洁影像传感器，影像除尘参考数据,CMOS,尼康D5500套机(18-105mm VR),电子控制纵走式焦平面快门,触摸屏，翻折屏，高清屏,6000×4000,2416万,菜单功能 按键 功能 操作 操控性 可玩性 使用体验 使用 手握 持握 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
808,高端单反,2.29万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds套机(16-35mm II USM),电子控制焦平面快门,高清屏,,5060万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 续航 电池
809,高端单反,2.87万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds套机(70-200mm IS II USM),电子控制焦平面快门,高清屏,,5060万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 续航 电池
810,消费,1760,4/3画幅,,CMOS,奥林巴斯Air A01,,,,1605万,
811,入门单反,4499,,无低通滤光镜,CMOS,宾得K-S2套机(18-50mm),,旋转屏,,2012万,防水性 防尘 三防 防滑性 菜单功能 按键 功能
812,微单,概念产品,,,,索尼A5300,,,,,
813,微单,1.45万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-70mm，蔡司35mm f/2.8),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
814,微单,1999,1/1.7英寸,"含原色滤光镜
除尘：摄像元件通过“DR II”超声波抖动除尘",背照式CMOS,宾得Q7套机(5-15mm),,,4000×3000,1240万,外壳 机身 质地
815,微单,1.08万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(E 50mm OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
816,入门单反,5498,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-55mm，55-300mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
817,入门单反,2399,APS画幅（23.2*15.4mm）,影像感应器清洁，影像除尘参照数据（需要可选择的Capture NX 2软件）,CMOS,尼康D3200套机(18-55mm II),电子控制纵走式焦平面快门,高清屏,6016×4000,2416万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地
818,微单,2729,4/3画幅（17.3*13mm）,除尘系统：超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL7套机(14-42mm II R),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,工艺 做工 设计
819,单电,概念产品,APS-C画幅（24.9*16.6mm）,,Exmor CMOS,索尼A68(单机),,LCD旋转屏,,2400万,
820,单电,5399,APS画幅（23.6*15.6mm）,,X-Trans CMOS,富士X-Pro 1套机(XF18mm),焦平面快门,高清屏,4896×3264,1600万,工艺 做工 设计 体积 厚度
821,微单,2.79万,APS-C画幅（23.6*15.7mm）,长宽比为3:2,,徕卡CL(18mm),电子快门,触摸屏,6014×4014,2424万,
822,微单,3.03万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(28-135mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
823,微单,1699,1英寸,,CMOS,尼康1 S2套机(11-27.5mm),电子快门,,4592×3072,1418万,
824,微单,9999,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-70mm，50mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
825,消费，卡片，广角，三防,1499,1/2.3英寸,,背照式CMOS,尼康AW120s,机械电子快门,高清屏,4608×3456,1605万,手感 触感 握感 握把 握持 质感 手柄
826,M4/3系统数码微单,2499,4/3画幅（17.3*13mm）,基色滤镜，超声波滤镜,Live MOS,松下GF6套机(X 14-42mm),焦平面快门,触摸屏，旋转屏，高清屏,4592×3448,1600万,
827,微单,3299,4/3画幅（17.3*13mm）,除尘系统：超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL7白色豪华套装,电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,工艺 做工 设计
828,单电,8499,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1套机(18-135mm),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
829,入门单反,3899,APS画幅（23.5*15.6mm）,除尘系统：清洁影像传感器，影像除尘参考数据,CMOS,尼康D5500套机(18-55mm VR),电子控制纵走式焦平面快门,触摸屏，翻折屏，高清屏,6000×4000,2416万,菜单功能 按键 功能 操作 操控性 可玩性 使用体验 使用 手握 持握 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
830,微单,3.8万,全画幅,,CMOS,徕卡Q(Typ 116) 四城定制款杭州版,机械电子快门,,,2420万,
831,微单,2648,4/3画幅（17.3*13mm）,,Live MOS,松下GF8套机(12-32mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,1600万,
832,消费，卡片，长焦,1100,1/2.3英寸,,背照式CMOS,尼康S6800,机械电子快门,,4608×3456,1602万,夜拍 感光
833,消费，长焦,599,其它尺寸（1/2.33英寸）,,CCD,GE通用电气X550,机械电子快门,,4608×3456,1607万,
834,单电,概念产品,全画幅,,,索尼A7X,,,,5000万,
835,高端单反,1.45万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(24-120mm),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
836,消费，长焦，广角,1599,1/2.3英寸,,CMOS,柯达AZ521,电子快门,高清屏,,,菜单功能 按键 功能 工艺 做工 设计 防抖性 防抖 机震
837,卡片,即将上市,APS画幅（23.7*15.7mm）,,CMOS,理光GR II Silver Edition,,高清屏,,1620万,携带 便携性 菜单功能 按键 功能 操作 操控性 可玩性
838,微单,1.44万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(16-35mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
839,中端单反,7900,APS画幅（23.5*15.6mm）,"摄像元件DR II机构：超声波抖动除尘，具有灰尘警告功能。
低通滤镜模拟器：基于SR元件的摩尔纹减少功能。关闭，类型1，类型2",CMOS,宾得K-3单机威望版,电子控制纵走式焦平面快门,高清屏,6016×4000,2435万,工艺 做工 设计 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观
840,消费,3499,,,,理光THETA V,,,5376×2688,1200万,
841,微单,1.73万,全画幅（35.9*24mm）,长宽比：3：2,CMOS,索尼A7RII套机(FE 16-35mm),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
842,消费，卡片，三防,1999,1/2.3英寸,,背照式CMOS,奥林巴斯TG-3,,高清屏,,1600万,
843,消费，卡片，长焦,1599,1/2.3英寸,,背照式CMOS,奥林巴斯SH-1,,触摸屏，高清屏,,1600万,
844,高端单反,1.83万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds R套机(16-35mm II USM),电子控制焦平面快门,高清屏,8688×5792,5060万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
845,微单,2.05万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(24-240mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
846,消费，长焦,价格面议,1/2.3英寸,,CMOS,佳能SX270 HS,,高清屏,4000×3000,1210万,
847,微单,4399,APS-C画幅（23.6*15.7mm）,,CMOS,富士X-A3套机(XC 16-50mm，50-230mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,
848,微单,3.8万,全画幅,,CMOS,徕卡Q(Typ 116) 四城定制款上海版,机械电子快门,,,2420万,
849,微单,6799,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XF 35mm),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
850,消费，卡片，三防,1299,1/2.3英寸,,背照式CMOS,富士XP80,,,4608×3456,1640万,
851,消费，卡片，长焦,5799,1/1.7英寸,,CMOS,徕卡C 金粉限量版,,,,1210万,菜单功能 按键 功能 外壳 机身 质地 携带 便携性
852,高端单反,4.53万,全画幅（35.9*23.9mm）,,CMOS,尼康D5套机(24-70mm VR),电子控制纵走式焦平面快门,触摸屏,5568×3712,2082万,追焦 追踪 工艺 做工 设计 携带 便携性 夜拍 感光 操作 操控性 可玩性
853,消费，长焦，广角,1699,1/2.3英寸,,背照式CMOS,柯达AZ526,,高清屏,4608×3456,1635万,
854,消费，卡片,即将上市,1/2.3英寸,,BSI-CMOS,理光G900,,,5184×3888,2000万,
855,微单,9999,17.3×13mm,,Live MOS,松下G7套机(14-140mm),,OLED屏，触摸屏，旋转屏,4592×3448,1600万,
856,广角,1288,,,,Insta360 Nano,,,,,
857,单电,7799,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1套机(XF18-55mm),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
858,入门单反,价格面议,APS-C画幅,,CMOS,佳能150D,,触摸屏，旋转屏,,2400万,
859,微单,6399,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(18-55mm),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
860,微单,1.11万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 24-240mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
861,高端单反,1.9万,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(14-24mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
862,中画幅,5.98万,,,,阿尔帕12SWA,,,,,
863,全景相机,1699,1/2.3英寸,,Sony IMX 206,米家全景相机套装,,,6912×3456,2388万,
864,微单,6790,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XC 16-50mm II，50-230mm II),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
865,微单,3400,1英寸（13.2*8.8mm）,,CMOS,尼康1 S1套机(11-27.5mm，30-110mm),电子快门,高清屏,3872×2592,1011万,
866,微单,6.21万,全画幅（35.8*23.9mm）,,CMOS,徕卡M(Typ 262)红色涂装限量版,机械快门,高清屏,5976×3992,2410万,
867,入门单反,5138,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能760D套机(50mm STM),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 工艺 做工 设计 操作 操控性 可玩性 结构 外形 外观
868,微单,1.28万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II卡口适配器套装,电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
869,旁轴数码,6.49万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(35mm f/2.4),,,5976×3992,2400万,
870,M4/3系统数码单电,2299,4/3画幅（17.3*13mm）,基色滤镜，超声波滤镜,Live MOS,松下GF6套机(14-42mm II),焦平面快门,触摸屏，旋转屏，高清屏,4592×3448,1600万,
871,微单,4000,APS画幅（23.5*15.7mm）,RGB 原色滤镜,CMOS,三星NX2000套机(20-50mm II，50-200mm),电子控制垂直焦平面快门,触摸屏，高清屏,5472×3648,2030万,结构 外形 外观 操作 操控性 可玩性
872,消费,概念产品,,,,松下TZ200,,,,,
873,微单,2.36万,APS-C画幅（23.6*15.7mm）,,CMOS,徕卡T套机(23mm),,触摸屏,4928×3264,1630万,
874,微单,4399,4/3画幅,,Live MOS,奥林巴斯E-PL8套机(14-42，40-150mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,4608×3456,1610万,
875,微单,1.45万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II手柄闪光灯套装,电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
876,微单,3588,APS画幅（23.6*15.6mm）,,CMOS,富士X-A2套机(XC 16-50mm，XC 50-230mm),焦平面快门,翻转屏，高清屏,4896×3264,1630万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
877,入门单反,5999,,无低通滤光镜,CMOS,宾得K-S2套机(18-135mm),,旋转屏,,2012万,防水性 防尘 三防 防滑性 菜单功能 按键 功能
878,旁轴数码,概念产品,中画幅（44*33mm）,,,索尼AM1,,,,,
879,,概念产品,,,,索尼DSC-HX95,,,,,
880,入门单反,4680,APS画幅（23.5*15.6mm）,除尘：感光元件驱动及SP镀层,CMOS,宾得K-S1套机(18-55mm，50-200mm),电子控制纵走式焦平面快门,高清屏,5472×3648,2012万,菜单功能 按键 功能 操作 操控性 可玩性 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
881,入门单反,4898,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-55mm，55-200mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
882,微单,6499,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(XC16-50mm II，XC 50-230mm II),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
883,消费，专业,概念产品,,,,松下LX200,,,,,
884,高端单反,9.6万,中画幅（43.9*32.9mm）,像素尺寸：6.0μm,CCD,玛米亚利图Credo 40,,触摸屏，高清屏,8984×6732,4000万,
885,微单,1999,1英寸（13.2*8.8mm）,颜色滤镜：RGB 原色滤镜,背照式CMOS,三星NX mini套机(9-27mm),,触摸屏，旋转屏，高清屏,5472×3648,2050万,携带 便携性 结构 外形 外观
886,高端单反,2.94万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(105mm f/2.8G IF-ED VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
887,中端单反,9400,APS画幅（23.5*15.6mm）,"摄像元件""DR II""机构：超声波抖动除尘，具有灰尘警告功能。
低通滤镜模拟器：基于SR元件的摩尔纹减少功能。关闭，类型1，类型2",CMOS,宾得K-3 Premium Silver Edition 全球限量版,电子控制纵走式焦平面快门,高清屏,6016×4000,2435万,工艺 做工 设计 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观
888,微单,2999,22.3×14.9mm,APS-C画幅,CMOS,佳能EOS M10套机(15-45mm，22mm),电子控制焦平面快门,TFT彩色液晶监视器,,1800万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计
889,微单,3.16万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(FE 24-240mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
890,旁轴数码,9.47万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(16-18-21mm f/4),,,5976×3992,2400万,
891,微单,1.75万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S套机(FE 24-70mm，FE 55mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,菜单功能 按键 功能
892,入门单反,4848,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-55mm，35mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
893,消费，三防,概念产品,,,,小米小蚁4K+运动相机,,,,,
894,高端单反,1.17万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(50mm f/1.8D),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
895,单电,8299,APS画幅（23.6*15.6mm）,,X-Trans CMOS,富士X-Pro 1套机(XF35mm),焦平面快门,高清屏,4896×3264,1600万,工艺 做工 设计 体积 厚度
896,中画幅,3.58万,,,,阿尔帕12 TC,,,,,
897,单电,6699,4/3画幅（17.3*13mm）,,Live MOS,奥林巴斯E-M5 II套机(14-42mmEZ),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,结构 外形 外观
898,中端单反,4999,APS画幅（23.7*15.7mm）,除尘：感光元件抖动和SP镀膜,CMOS,宾得K-50套机(L 18-55mm WR，L 50-200mm WR),电子控制纵走式焦平快门,高清屏,4928×3264,1628万,菜单功能 按键 功能 工艺 做工 设计 防水性 防尘 三防 防滑性 外壳 机身 质地 携带 便携性 使用体验 使用
899,旁轴数码,即将上市,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10 Zagato限量版,,,5976×3992,2400万,
900,单电,6900,APS画幅（23.5*15.7mm）,传感器模式：加速度传感器，地磁传感器，距离传感器，陀螺仪，RGB光传感器,CMOS,三星GN100(单机),,触摸屏,5472×3648,2030万,菜单功能 按键 功能 外壳 机身 质地
901,微单,1.81万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(FE 70-300mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
902,微单,6690,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XF 27mm),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
903,高端单反,17.25万,中画幅（53.9*40.4mm）,像素尺寸：6.0μm,CCD,玛米亚利图Credo 60(玛米亚口),,触摸屏，高清屏,8984×6732,6000万,
904,消费，卡片,908,,,,尼康S33,,,,,
905,,1498,,,,Insta360 Nano S,,,,,
906,消费，长焦,881,1/2.3英寸,,CCD,柯达FZ102,,,,1615万,
907,微单,即将上市,全画幅（35.8*23.8mm）,,CMOS,徕卡Q碳纤维版,机械电子快门,触摸屏,,2400万,
908,中端单反,9200,APS画幅（23.5*15.6mm）,"摄像元件DR II机构：超声波抖动除尘，具有灰尘警告功能。
低通滤镜模拟器：基于SR元件的摩尔纹减少功能。关闭，类型1，类型2",CMOS,宾得K-3威望版套机(18-55mm WR),电子控制纵走式焦平面快门,高清屏,6016×4000,2435万,工艺 做工 设计 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观
